country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","28-09-2025 17:00:00",13.204880,79.097889,NH3,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","28-09-2025 17:00:00",13.204880,79.097889,SO2,10,11,10
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","28-09-2025 17:00:00",14.465052,78.824187,PM2.5,57,73,63
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","28-09-2025 17:00:00",14.465052,78.824187,NO2,12,18,14
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","28-09-2025 17:00:00",26.187500,91.744194,OZONE,18,18,18
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-09-2025 17:00:00",26.349082,92.68449,PM2.5,34,60,54
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-09-2025 17:00:00",26.349082,92.68449,PM10,36,51,47
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","28-09-2025 17:00:00",13.67,79.35,PM2.5,5,40,15
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","28-09-2025 17:00:00",16.509717,80.612222,PM10,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","28-09-2025 17:00:00",17.72,83.3,NH3,3,4,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","28-09-2025 17:00:00",17.72,83.3,SO2,4,14,7
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","28-09-2025 17:00:00",17.72,83.3,OZONE,5,57,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","28-09-2025 17:00:00",16.509717,80.612222,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","28-09-2025 17:00:00",16.509717,80.612222,CO,32,32,32
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","28-09-2025 17:00:00",16.509717,80.612222,OZONE,35,41,37
India,Assam,Guwahati,"IITG, Guwahati - PCBA","28-09-2025 17:00:00",26.2028636,91.70046436,PM2.5,3,62,39
India,Assam,Guwahati,"IITG, Guwahati - PCBA","28-09-2025 17:00:00",26.2028636,91.70046436,PM10,9,108,55
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","28-09-2025 17:00:00",16.9872867,81.7363176,PM2.5,3,22,13
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","28-09-2025 17:00:00",16.5150833,80.5181667,PM10,14,32,23
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","28-09-2025 17:00:00",26.10887,91.589544,NO2,8,17,14
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-09-2025 17:00:00",26.349082,92.68449,NH3,4,4,4
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","28-09-2025 17:00:00",25.42742023,86.13886079,SO2,19,38,26
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","28-09-2025 17:00:00",25.42742023,86.13886079,CO,36,74,49
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","28-09-2025 17:00:00",25.42742023,86.13886079,OZONE,2,47,28
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","28-09-2025 17:00:00",26.80365,84.51954,PM2.5,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","28-09-2025 17:00:00",26.80365,84.51954,PM10,NA,NA,NA
